country,avg_points
England,92.88888888888889
Austria,89.27674190382729
France,88.92586975068727
Germany,88.62642740619903
Italy,88.41366385552432
Canada,88.23979591836735
Slovenia,88.23404255319149
Morocco,88.16666666666667
Turkey,88.09615384615384
Portugal,88.05768508079669
Albania,88.0
Australia,87.89247528747227
US,87.81878936487331
Serbia,87.71428571428571
India,87.625
New Zealand,87.55421686746988
Hungary,87.32900432900433
Switzerland,87.25
South Africa,87.22542072630647
Israel,87.17619047619047
Luxembourg,87.0
Spain,86.64658925979681
Chile,86.29676753782668
Croatia,86.28089887640449
Greece,86.11764705882354
Tunisia,86.0
Argentina,85.9960930562955
Cyprus,85.87096774193549
Czech Republic,85.83333333333333
Lebanon,85.70270270270271
Georgia,85.51162790697674
Bulgaria,85.46753246753246
Japan,85.0
Romania,84.92086330935251
Macedonia,84.8125
Mexico,84.76190476190476
Bosnia and Herzegovina,84.75
Moldova,84.71830985915493
Ukraine,84.6
Uruguay,84.47826086956522
Lithuania,84.25
Egypt,83.66666666666667
Slovakia,83.66666666666667
Brazil,83.24
China,82.0
Montenegro,82.0
South Korea,81.5
